duration_us,draw_id,image_q,delta_eta_q_given_1,delta_rho_y_q_given_1,truth_delta_eta_q_given_1,truth_delta_rho_y_q_given_1,eta_pair_supported,rho_y_pair_supported,eta_pair_reason,rho_y_pair_reason
25,12,3,0.0011596359461176764,-0.020695814591898065,-0.005727598353157504,-0.0011481631107591594,true,true,supported,supported
25,12,4,-0.012888543325825563,-0.024815344530560557,-0.008586642042826997,-0.0017232710691525988,true,true,supported,supported
25,12,5,0.04751241212995294,0.06072863098875014,-0.01144251922178463,-0.0022990596478537073,true,true,supported,supported
25,12,6,-0.02613576494237846,0.019510620250737687,-0.014295232358622956,-0.0028755300241831705,true,true,supported,supported
25,12,7,-0.024386482508982565,-0.07600373355085122,-0.017144780418153927,-0.00345272346108616,true,true,supported,supported
25,12,8,0.010769263759776826,-0.011536676976722116,-0.019991169663249653,-0.004030593673255312,true,true,supported,supported
25,12,9,0.07809553009958459,0.06056392844160585,-0.022834405935228896,-0.004609178441481565,true,true,supported,supported
25,12,10,0.021669887696453727,0.0168029735082863,-0.025674479936079075,-0.005188451246219361,true,true,supported,supported
25,12,11,-0.029822786636421683,0.01846860085099633,-0.0285113990229805,-0.005768449218922389,true,true,supported,supported
25,12,12,-0.04958119571616748,-0.02096064946485754,-0.03134516601585047,-0.006349160963455169,true,true,supported,supported
25,12,13,0.02275605876283915,0.08314909520984293,-0.03417601520363278,-0.006930613128595886,true,true,supported,supported
25,12,14,0.00811921515531877,-0.010294044035077388,-0.037003634162659726,-0.007512768077172716,true,true,supported,supported
25,12,15,0.04731477431997233,0.03499444228927373,-0.03982806586113119,-0.008095634824816123,true,true,supported,supported
25,13,1,0.0,0.0,0.0,0.0,true,true,supported,supported
25,13,2,-0.07399316549151702,-0.013782698508321034,-0.0028653850287652105,-0.0005737431088805867,true,true,supported,supported
25,13,3,-0.09948528339730867,-0.06395934282388516,-0.005727598353157504,-0.0011481631107591594,true,true,supported,supported
25,13,4,-0.040261242806324704,-0.030669193275999262,-0.008586642042826997,-0.0017232710691525988,true,true,supported,supported
25,13,5,-0.09536341643140211,-0.04867234507316265,-0.01144251922178463,-0.0022990596478537073,true,true,supported,supported
25,13,6,-0.04511707766452755,0.03569397246947004,-0.014295232358622956,-0.0028755300241831705,true,true,supported,supported
25,13,7,-0.06538677770999146,-0.03976358565499716,-0.017144780418153927,-0.00345272346108616,true,true,supported,supported
25,13,8,-0.12561922780028656,-0.02036781183353631,-0.019991169663249653,-0.004030593673255312,true,true,supported,supported
25,13,9,-0.0737591877025171,0.03024301955105524,-0.022834405935228896,-0.004609178441481565,true,true,supported,supported
25,13,10,-0.14301562510695465,-0.042815512344023365,-0.025674479936079075,-0.005188451246219361,true,true,supported,supported
25,13,11,-0.04743424865732959,0.028132255727611355,-0.0285113990229805,-0.005768449218922389,true,true,supported,supported
25,13,12,-0.12397030973723111,-0.08028808638485385,-0.03134516601585047,-0.006349160963455169,true,true,supported,supported
25,13,13,-0.1571589901058531,-0.02747024292904643,-0.03417601520363278,-0.006930613128595886,true,true,supported,supported
25,13,14,-0.06763700526711947,-0.057872402614757124,-0.037003634162659726,-0.007512768077172716,true,true,supported,supported
25,13,15,-0.10650753607796881,-0.004013567507556104,-0.03982806586113119,-0.008095634824816123,true,true,supported,supported
25,14,1,0.0,0.0,0.0,0.0,true,true,supported,supported
