method,state,duration_us,draw_id,d_peak_hat_um,nu_vp_hat,d_peak_truth_um,nu_vp_truth,d_peak_conditional_sd_um,nu_vp_conditional_sd,old_d_peak_supported,old_nu_vp_supported,selected_locally_eligible,minimum_distinct_alternative_delta_q,d_peak_competitive_alternative_count,nu_vp_competitive_alternative_count,d_peak_supported,nu_vp_supported,support_rule
dgi,connected_modulated,25,17,2.8418056076680003,0.6136067279126661,2.751540046488,0.6494770333465083,0.041270299388601744,0.05211333175054552,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,18,2.71875953339,0.6588981907856173,2.751540046488,0.6494770333465083,0.043359583324548034,0.05103535644682328,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,19,2.736842470979,0.6643483524726056,2.751540046488,0.6494770333465083,0.042949959582826915,0.049841691421720145,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,20,2.7342365728205,0.5948991939062168,2.751540046488,0.6494770333465083,0.037403439877763366,0.05152784274597204,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,21,2.771668159963,0.6389316639658318,2.751540046488,0.6494770333465083,0.04267239208325347,0.049957850953314724,False,False,False,,0,0,False,False,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,22,2.6543442029465,0.7180807983014099,2.751540046488,0.6494770333465083,0.051795941248199966,0.05181177638579124,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,23,2.7759316192405,0.6524099804327778,2.751540046488,0.6494770333465083,0.04209214581235556,0.05110461496030367,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,24,2.7505562343375,0.5954014652572697,2.751540046488,0.6494770333465083,0.038262987760942946,0.053164215065925606,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,25,2.7202667298575003,0.6359856260436971,2.751540046488,0.6494770333465083,0.04062620584819476,0.050436784792828274,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,26,2.7076245713505003,0.6792151129060624,2.751540046488,0.6494770333465083,0.04531742642896615,0.05107439178874767,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,27,2.6660008397809998,0.7162775688569927,2.751540046488,0.6494770333465083,0.049172571958214076,0.04977964219152471,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,28,2.713692494665,0.6886133351739526,2.751540046488,0.6494770333465083,0.04651051658657663,0.050747272797935845,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
