method,duration_us,state,draw_id,role,role_id,frame_id,seed_tuple
dgi,25,connected_modulated,49,stop_dark,3,0,20260818;5301;25;1;1;49;3;0
dgi,25,connected_modulated,49,open_reference,4,0,20260818;5301;25;1;1;49;4;0
dgi,25,connected_modulated,49,open_dark,5,0,20260818;5301;25;1;1;49;5;0
dgi,25,connected_modulated,50,atom_stop,1,1,20260818;5301;25;1;1;50;1;1
dgi,25,connected_modulated,50,leakage_stop,2,0,20260818;5301;25;1;1;50;2;0
dgi,25,connected_modulated,50,stop_dark,3,0,20260818;5301;25;1;1;50;3;0
dgi,25,connected_modulated,50,open_reference,4,0,20260818;5301;25;1;1;50;4;0
dgi,25,connected_modulated,50,open_dark,5,0,20260818;5301;25;1;1;50;5;0
dgi,25,connected_modulated,51,atom_stop,1,1,20260818;5301;25;1;1;51;1;1
dgi,25,connected_modulated,51,leakage_stop,2,0,20260818;5301;25;1;1;51;2;0
dgi,25,connected_modulated,51,stop_dark,3,0,20260818;5301;25;1;1;51;3;0
dgi,25,connected_modulated,51,open_reference,4,0,20260818;5301;25;1;1;51;4;0
dgi,25,connected_modulated,51,open_dark,5,0,20260818;5301;25;1;1;51;5;0
dgi,25,connected_modulated,52,atom_stop,1,1,20260818;5301;25;1;1;52;1;1
dgi,25,connected_modulated,52,leakage_stop,2,0,20260818;5301;25;1;1;52;2;0
dgi,25,connected_modulated,52,stop_dark,3,0,20260818;5301;25;1;1;52;3;0
dgi,25,connected_modulated,52,open_reference,4,0,20260818;5301;25;1;1;52;4;0
dgi,25,connected_modulated,52,open_dark,5,0,20260818;5301;25;1;1;52;5;0
dgi,25,connected_modulated,53,atom_stop,1,1,20260818;5301;25;1;1;53;1;1
dgi,25,connected_modulated,53,leakage_stop,2,0,20260818;5301;25;1;1;53;2;0
dgi,25,connected_modulated,53,stop_dark,3,0,20260818;5301;25;1;1;53;3;0
dgi,25,connected_modulated,53,open_reference,4,0,20260818;5301;25;1;1;53;4;0
dgi,25,connected_modulated,53,open_dark,5,0,20260818;5301;25;1;1;53;5;0
dgi,25,connected_modulated,54,atom_stop,1,1,20260818;5301;25;1;1;54;1;1
dgi,25,connected_modulated,54,leakage_stop,2,0,20260818;5301;25;1;1;54;2;0
dgi,25,connected_modulated,54,stop_dark,3,0,20260818;5301;25;1;1;54;3;0
